size,rep,setup_ms,join_total_ms,join_per_member_ms,sign_avg_ms,verify_avg_ms
10,1,347.1227860027284,311.33465099992463,31.133465099992463,3.3078996000161474,5.152280300292962
10,2,157.7260269987164,474.3552889995044,47.43552889995044,3.5735031002938435,5.5702164331402555
10,3,65.32374100061134,436.41905799813685,43.641905799813685,3.466873300203588,5.203788466678816
10,4,89.4822740010568,551.3717370013183,55.137173700131825,3.1904360666279294,5.015169833010684
10,5,622.282283999084,504.5351840017247,50.45351840017247,3.8135253665435207,5.9725734328822
30,1,103.45164599857526,1828.8528929988388,60.961763099961296,3.892805433133617,6.074855866487876
30,2,251.652719998674,1727.5120680023974,57.58373560007991,3.2428164334608787,5.1009409332133755
30,3,85.26279799843905,1452.7463780032122,48.424879266773736,3.845602499616992,5.385426500045772
30,4,174.22982699645218,2222.8621909998765,74.09540636666254,3.4012741000575866,5.265425100272599
30,5,205.933790999552,1222.917877999862,40.76392926666207,3.3255702332098735,5.308354799732721
60,1,153.12093299871776,2884.253133001039,48.070885550017316,3.5820220335153863,5.4010909000984
60,2,217.61294699899736,2708.8803330007067,45.14800555001178,3.272626167139,5.211835299875626
60,3,169.6140940002806,3650.8352130003914,60.84725355000652,3.4014686669252114,5.421030466459342
60,4,295.3547770011937,3430.612256001041,57.17687093335068,3.1834199330963506,5.1379263998872675
60,5,66.87066300219158,3129.483535998588,52.1580589333098,3.260769133339636,5.0591880664190585
100,1,187.22752500252682,4464.625418000651,44.64625418000651,3.355485466818209,5.152130266772777
100,2,37.19206299865618,5221.802358999412,52.21802358999412,4.008507966864272,6.156524966597014
100,3,281.22633599923574,5643.2301360000565,56.432301360000565,3.7878528996467744,5.758332067004328
100,4,221.27668900066055,5046.410373000981,50.46410373000981,3.183625299789128,5.126432200146762
100,5,141.66443499925663,5290.620528001455,52.90620528001455,3.5419341328330725,5.607041200588962
